player_id,gender,country,debut_year,birth_year,birth_month,played_youth
5639,Women,Slovakia,2014,1994,12,1
5642,Women,Slovakia,2017,1993,6,1
5643,Women,Slovakia,2015,1994,6,1
5658,Men,Slovenia,2013,1990,6,1
5672,Men,Slovenia,2016,1993,2,1
5695,Men,Spain,2017,1991,12,1
5733,Women,Sweden,2015,1993,11,1
5793,Women,Turkey,2018,1994,3,1
5794,Women,Turkey,2015,1994,7,1
5806,Men,Turkey,2016,1995,5,1
5808,Women,Ukraine,2011,1992,2,1
5819,Women,Ukraine,2017,1994,10,1
5852,Women,Belarus,2017,1994,4,1
5878,Women,Belgium,2018,1994,9,1
5889,Men,Belgium,2016,1995,8,1
5939,Men,Croatia,2010,1984,11,0
5968,Women,Czech Republic,2010,1984,3,1
5984,Men,Czech Republic,2017,1995,1,1
6023,Men,Great Britain,2016,1992,11,1
6043,Women,Great Britain,2016,1995,2,1
6044,Women,Great Britain,2019,1995,8,1
6096,Women,France,2013,1994,4,1
6107,Men,France,2014,1992,6,1
6119,Women,France,2017,1994,11,1
6155,Men,Germany,2015,1994,2,1
6180,Women,Great Britain,2010,1983,6,0
6203,Men,Greece,2016,1994,12,1
6217,Women,Hungary,2015,1992,2,1
6278,Men,Israel,2017,1992,12,1
6312,Men,Italy,2017,1990,5,1
6328,Men,Italy,2019,1994,10,1
6346,Women,Latvia,2015,1992,12,1
6362,Women,Latvia,2017,1994,4,1
6383,Men,Lithuania,2016,1994,4,1
6385,Men,Lithuania,2015,1994,3,1
6416,Men,Montenegro,2010,1984,6,0
6495,Men,Poland,2010,1984,3,0
6585,Men,Russia,2016,1994,8,1
6626,Women,Serbia,2010,1989,11,0
6627,Women,Serbia,2014,1995,3,1
6633,Men,Serbia,2013,1994,1,1
6635,Men,Serbia,2013,1992,8,1
6639,Men,Serbia,2015,1994,12,1
6649,Women,Serbia,2015,1996,3,1
6675,Women,Slovakia,2015,1995,8,1
6679,Women,Slovakia,2016,1995,3,1
6681,Men,Slovenia,2014,1992,10,1
6691,Men,Slovenia,2014,1995,2,1
6693,Men,Slovenia,2016,1995,1,1
